State,Elec Distributor,Postcode,Suburb,NMI,RES Tariff,SME Tariff
VIC,Citipower,3141,SOUTH YARRA,61020648265,C1R,
VIC,Jemena,3073,RESERVOIR,60011103086,A100,
VIC,Powercor,3226,Ocean Grove,62031687662,D1,
VIC,United Energy,3188,Hampton,64072625634,LVS1R,
VIC,Aus Net,3690,WODONGA,63055412341,NEE11,
NSW,Endeavour,2777,Hawkesbury heights,43104848539,N70,
NSW,Essential,2320,Aberglasslyn,42040937983,BLNN2AU,
NSW,Ausgrid,2799,Barry,41022944408,EA010,
SA,SA Power,5000,Adelaide,20013648064,RSR,
QLD,Energex,4054,Arana Hills,QB033215764,8400,
ACT,Actew AGL,2611,Chapman,70012010315,,
VIC,Citipower,3141,SOUTH YARRA,61020648265,,C1G
VIC,Jemena,3073,RESERVOIR,60011103086,,A200
VIC,Powercor,3226,Ocean Grove,62031687662,,ND1
VIC,United Energy,3188,Hampton,64072625634,,LVM1R
VIC,Aus Net,3690,WODONGA,63055412341,,NEE40
NSW,Endeavour,2777,Hawkesbury heights,43104848539,,N90
NSW,Essential,2320,Aberglasslyn,42040937983,,BLNN1AU
NSW,Ausgrid,2799,Barry,41022944408,,EA050
SA,SA Power,5000,Adelaide,20013648064,,QBSR
QLD,Energex,4054,Arana Hills,QB033215764,,8500
