State,Elec Distributor,Postcode,Suburb,RES Tariff,SME Tariff,Plan Type,Customer Type,Consumption Level,Retailer,Product Name,Product Description,Discount: Guaranteed Elec,Discount: Guaranteed Gas,Discount: Pay on Time Elec,Discount: Pay on Time Gas,Discount: Dual Fuel Elec,Discount: Dual Fuel Gas,AD:Rankings (Inc Discounts), Ranking 1,Ranking 2,Ranking 3,Date
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-0.34%,-1.7%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,2,0.34%,0%,-1.36%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,3,1.67%,1.34%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,4,2.97%,2.64%,1.32%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Origin Energy,"Origin Max Saver (Citipower)","",11,,,,,,5,3.61%,3.28%,1.97%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,6,3.92%,3.59%,2.29%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,4.55%,4.22%,2.92%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,8,4.55%,4.22%,2.92%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,9.26%,8.95%,7.72%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Low,Origin Energy,"Origin Flexi","",5,,,,,,10,9.54%,9.23%,8%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-0.26%,-0.52%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,2,0.26%,0%,-0.26%,23/04/2020
